GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,161,0,4,0,44,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,125,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,161,0,4,0,44,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,161,0,4,0,44,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.services.impl,BidServiceImpl,5,45,1,5,1,12,1,7,0,5
spring-boot-skeleton,com.nnk.springboot.services.impl,RatingServiceImpl,10,37,2,2,2,11,2,5,0,5
spring-boot-skeleton,com.nnk.springboot.services.impl,CurvePointServiceImpl,5,42,1,3,1,12,1,6,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,12,53,0,0,0,14,3,10,3,10
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,55,34,0,0,6,12,12,5,12,5
spring-boot-skeleton,com.nnk.springboot.domain,BidList,76,130,0,0,0,29,19,26,19,26
spring-boot-skeleton,com.nnk.springboot.domain,Trade,181,22,0,0,20,8,40,5,40,5
spring-boot-skeleton,com.nnk.springboot.domain,User,35,3,0,0,15,1,10,1,10,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,16,55,0,0,0,14,4,11,4,11
spring-boot-skeleton,com.nnk.springboot.exceptions,InvalidInputException,0,4,0,0,0,2,0,1,0,1
